1,4.56,4.8,4.5
2,4.55,4.7,4.5
3,4.61,4.8,4.5
4,4.65,4.8,4.6
5,4.69,4.9,4.6
6,4.72,4.9,4.6
7,4.75,4.9,4.6
8,4.75,4.9,4.7
9,4.77,5,4.8
10,4.84,5,4.8
11,4.91,5.1,4.9
12,4.93,5.1,4.9
13,4.99,5.1,5
14,5.04,5.2,5
15,5.07,5.2,5.1
16,5.17,5.3,5.1
17,5.15,5.3,5.1
18,5.24,5.4,5.2
19,5.29,5.4,5.2
20,5.34,5.5,5.3
21,5.36,5.5,5.3
22,5.36,5.5,5.3
23,5.46,5.6,5.4
24,5.53,5.6,5.5
25,5.58,5.7,5.6
26,5.66,5.8,5.7
27,5.72,5.8,5.8
28,5.79,5.9,5.8
29,5.89,6,5.9
30,5.96,6,5.9
31,5.97,6,6.1
32,6.12,6.2,6.1
33,6.11,6.2,6.2
34,6.25,6.3,6.3
35,6.33,6.4,6.4
36,6.5,6.6,6.5
37,6.59,6.7,6.6
38,6.73,6.8,6.7
39,6.83,6.9,6.8
40,6.94,7,6.9
41,7.08,7.1,7
42,7.22,7.2,7.2
43,7.33,7.4,7.2
44,7.39,7.4,7.4
45,7.51,7.5,7.6
46,7.71,7.7,7.7
47,7.85,7.8,7.9
48,7.98,8,8
49,8.11,8.1,8.2
50,8.25,8.2,8.3
51,8.37,8.3,8.4
52,8.47,8.4,8.5
53,8.6,8.5,8.6
54,8.71,8.6,8.7
55,8.81,8.8,8.7
56,8.87,8.9,8.8
57,8.92,8.9,8.9
58,9.04,9,8.9
59,8.99,9,9
60,9.08,9,9
61,9.12,9.1,9.2
62,9.27,9.2,9.3
63,9.37,9.3,9.4
64,9.49,9.4,9.6
65,9.61,9.5,9.7
66,9.77,9.7,9.7
67,9.8,9.7,-1
68,9.72,9.7,9.5
69,9.61,9.5,9.6
70,9.71,9.6,9.7
71,9.72,9.6,9.7
72,9.77,9.7,9.9
73,9.95,9.8,9.9
74,10.05,9.9,10
75,10.12,10.1,10
76,10.16,10.1,9.8
77,9.98,9.9,9.7
78,9.84,9.8,9.7
79,9.81,9.7,9.7
80,9.78,9.7,9.8
81,9.92,9.8,9.9
82,10.04,9.9,10
83,10.16,10.1,10
84,10.16,10.1,10
85,10.2,10.1,10.2
86,10.3,10.2,10.2
87,10.37,10.3,10.3
88,10.41,10.3,10.3
89,10.5,10.4,10.3
90,10.47,10.4,10.3
91,10.44,10.3,10.5
92,10.59,10.4,10.6
93,10.67,10.5,10.8
94,10.88,10.7,11
95,11.09,11,11.1
96,11.23,11.1,11.2
97,11.29,11.2,11.2
98,11.35,11.2,11.3
99,11.42,11.3,11.4
100,11.51,11.4,11.4
101,11.51,11.3,11.5
102,11.6,11.4,11.6
103,11.68,11.5,11.7
104,11.77,11.6,11.8
105,11.86,11.7,11.8
106,11.84,11.7,11.8
107,11.93,11.8,11.9
108,12.02,11.9,12
109,12.09,12,12.1
110,12.19,12,12.1
111,12.22,12,12.3
112,12.41,12.3,12.4
113,12.54,12.4,12.5
114,12.58,12.4,12.6
115,12.64,12.4,12.7
116,12.86,12.7,12.8
117,12.94,12.7,12.9
118,13.03,12.8,13
119,13.13,13,-1
120,13.34,13.1,13.3
121,13.41,13.2,13.3
122,13.5,13.3,13.4
123,13.58,13.3,13.5
124,13.65,13.4,-1
125,13.75,13.5,13.7
126,13.82,13.6,13.8
127,13.96,13.7,13.9
128,13.98,13.7,13.9
129,14.08,13.9,14
130,14.11,13.9,-1
131,14.24,14,-1
132,14.19,14,14.2
133,14.33,14.1,14.2
134,14.36,14.1,14.2
135,14.39,14.1,14.2
136,14.34,14.1,14.2
137,14.44,14.2,-1
138,14.49,14.2,14.4
139,14.63,14.3,14.5
140,14.63,14.4,14.6
141,14.71,14.5,14.6
142,14.78,14.5,-1
143,14.82,14.5,-1
144,14.99,14.7,-1
145,15.13,14.8,15.1
146,15.26,14.9,15.1
147,15.33,15,15.2
148,15.41,15.1,15.3
149,15.46,15.2,15.3
150,15.5,15.2,15.3
151,15.51,15.2,15.3
152,15.51,15.2,15.5
153,15.64,15.3,15.5
154,15.68,15.4,15.5
155,15.68,15.4,15.6
156,15.81,15.5,15.7
157,15.86,15.6,15.8
158,15.98,15.7,-1
159,16.12,15.8,-1
160,16.12,15.8,16
161,16.17,15.9,-1
162,16.26,15.9,16.2
163,16.34,16,16.2
164,16.36,16.1,16.3
165,16.57,16.2,16.4
166,16.7,16.2,16.4
167,16.7,16.4,16.5
168,16.72,16.4,16.7
169,16.87,16.5,16.7
170,16.81,16.5,-1
171,16.92,16.6,-1
172,16.96,16.6,16.9
173,17.12,16.7,17
174,17.22,16.8,17.1
175,17.33,16.9,-1
176,17.29,16.9,17.2
177,17.41,17,-1
178,17.62,17.2,17.6
179,17.77,17.4,17.6
180,17.79,17.4,-1
181,17.92,17.5,17.7
182,17.95,17.6,17.8
183,18.02,17.6,18
184,18.17,17.8,-1
185,18.26,17.8,18.1
186,18.28,17.9,-1
187,18.3,17.9,18.1
188,18.34,17.9,18.2
189,18.41,18,18.3
190,18.54,18.1,18.5
191,18.78,18.4,18.6
192,18.83,18.4,18.7
193,18.92,18.5,18.8
194,19.03,18.6,-1
195,19,18.6,18.9
196,19.11,18.7,18.9
197,19.17,18.7,18.9
198,19.25,18.8,-1
199,19.29,18.8,-1
200,19.31,18.9,19.1
201,19.36,18.9,6.4
202,19.46,19,19.2
203,19.51,19.1,19.3
204,19.53,19.1,19.4
205,19.62,19.2,19.4
206,19.75,19.3,-1
207,19.79,19.3,19.5
